,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
23467,3617.0,04/05,01/07/2004,UD Oliva,Villarreal CF B,-,Libre
23468,3618.0,16/17,22/07/2016,Real Betis,Getafe CF,"1,00 mill. €",Préstamo
23469,3618.0,15/16,30/06/2016,Alavés,Real Betis,"1,00 mill. €",Fin de préstamo
23470,3618.0,15/16,28/07/2015,Real Betis,Alavés,"1,00 mill. €",Préstamo
23471,3618.0,14/15,11/07/2014,AD Alcorcón,Real Betis,600 miles €,Libre
23472,3618.0,13/14,02/09/2013,FC Liverpool,AD Alcorcón,500 miles €,Libre
23473,3618.0,12/13,30/06/2013,SD Huesca,FC Liverpool,500 miles €,Fin de préstamo
23474,3618.0,12/13,31/01/2013,FC Liverpool,SD Huesca,600 miles €,Préstamo
23475,3618.0,11/12,30/06/2012,Atlético Madrid,FC Liverpool,600 miles €,Fin de préstamo
23476,3618.0,11/12,29/06/2012,Rayo Vallecano,Atlético Madrid,600 miles €,Fin de préstamo
23477,3618.0,11/12,25/08/2011,Atlético Madrid,Rayo Vallecano,600 miles €,Préstamo
23478,3618.0,11/12,24/08/2011,FC Liverpool,Atlético Madrid,100 miles €,Préstamo
23479,3618.0,10/11,01/05/2011,Norwich,FC Liverpool,100 miles €,Fin de préstamo
23480,3618.0,10/11,01/03/2011,FC Liverpool,Norwich,100 miles €,Préstamo
23481,3618.0,09/10,01/07/2009,Liverpool U18,FC Liverpool,100 miles €,-
23482,3618.0,07/08,01/07/2007,Barcelona Cad.,Liverpool U18,-,?
23483,3619.0,16/17,04/08/2016,R. M. Castilla,Getafe CF,300 miles €,Préstamo
23484,3619.0,14/15,01/07/2014,Real Madrid C,R. M. Castilla,-,-
23485,3619.0,13/14,01/07/2013,Real Madrid U19,Real Madrid C,-,-
23486,3620.0,15/16,01/07/2015,Getafe CF B,Getafe CF,-,-
23487,3620.0,14/15,01/07/2014,Getafe Juv. A,Getafe CF B,-,-
23488,3621.0,16/17,11/07/2016,Racing Club,Getafe CF,600 miles €,Préstamo
23489,3621.0,15/16,30/06/2016,Gimnasia,Racing Club,600 miles €,Fin de préstamo
23490,3621.0,15/16,01/02/2016,Racing Club,Gimnasia,600 miles €,Préstamo
23491,3621.0,15/16,31/12/2015,CA Banfield,Racing Club,600 miles €,Fin de préstamo
23492,3621.0,15/16,09/07/2015,Racing Club,CA Banfield,600 miles €,Préstamo
23493,3621.0,14/15,04/08/2014,Godoy Cruz,Racing Club,600 miles €,?
23494,3621.0,11/12,01/08/2011,Olimpo,Godoy Cruz,300 miles €,?
23495,3621.0,10/11,01/07/2010,Tiro Federal,Olimpo,175 miles €,?
23496,3621.0,06/07,01/07/2006,CA Argentino,Tiro Federal,-,?
23497,3621.0,04/05,01/01/2005,eigene U19,CA Argentino,-,-
23498,3622.0,16/17,01/07/2016,Celtic FC,Getafe CF,"2,00 mill. €","1,20 mill. €"
23499,3622.0,15/16,30/06/2016,Getafe CF,Celtic FC,"2,00 mill. €",Fin de préstamo
23500,3622.0,15/16,31/08/2015,Celtic FC,Getafe CF,"2,00 mill. €",Préstamo
23501,3622.0,14/15,01/09/2014,Sporting,Celtic FC,"2,50 mill. €","2,53 mill. €"
23502,3622.0,14/15,01/07/2014,Partizan,Sporting,"2,00 mill. €","1,00 mill. €"
23503,3622.0,13/14,30/06/2014,Sporting,Partizan,"2,00 mill. €",Fin de préstamo
23504,3622.0,13/14,17/07/2013,Partizan,Sporting,800 miles €,Préstamo
