,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
82420,3819.0,15/16,Copa del Rey,Girona FC,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,120',2,-
82421,3819.0,14/15,LaLiga2,Racing de Santander,21,7,"1,29",-,-,-,1,-,-,-,-,-,-,543',6,4
82422,3819.0,13/14,LaLiga,RCD Espanyol,38,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',4,-
82423,3819.0,13/14,Copa del Rey,RCD Espanyol,6,2,"0,50",-,-,-,-,-,-,-,-,-,-,180',3,-
82424,3819.0,12/13,LaLiga,RCD Espanyol,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82425,3819.0,12/13,Segunda División B - Grupo III,RCD Espanyol B,10,10,"1,50",-,-,-,-,-,1,-,-,-,-,900',10,6
82426,3820.0,16/17,LaLiga2,Elche CF,1,1,"1,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82427,3820.0,2016,Toyota Thai League,Buriram United,27,27,"1,78",9,2,-,-,-,7,-,-,4,270',2.430',-,-
82428,3820.0,2016,AFC Champions League,Buriram United,5,5,"0,20",1,-,-,-,-,2,-,-,1,450',450',-,-
82429,3820.0,2015,Toyota Thai League,Buriram United,27,27,"2,70",9,-,-,-,4,5,-,-,4,254',2.286',-,-
82430,3820.0,2015,AFC Champions League,Buriram United,6,6,"1,67",1,-,-,-,-,1,-,-,-,540',540',-,-
82431,3820.0,13/14,Ligat HaAl,Beitar Jerusalem,23,23,"1,13",-,-,-,-,1,9,-,1,-,-,2.042',-,-
82432,3820.0,12/13,LaLiga,Celta de Vigo,30,30,"1,03",-,-,-,-,-,4,-,-,-,-,2.700',-,-
82433,3820.0,12/13,Copa del Rey,Celta de Vigo,3,3,"2,00",-,-,-,-,1,1,-,-,-,-,255',-,-
82434,3820.0,11/12,LaLiga2,Celta de Vigo,35,29,"2,31",1,-,-,-,-,4,-,-,-,2.610',2.610',-,-
82435,3820.0,11/12,Copa del Rey,Celta de Vigo,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82436,3820.0,10/11,Promoción de ascenso a LaLiga ,Celta de Vigo,2,1,"3,00",-,-,-,-,-,-,-,-,-,-,120',-,-
82437,3820.0,10/11,LaLiga2,Celta de Vigo,25,7,"1,00",1,-,-,1,-,1,-,-,-,560',560',-,-
82438,3820.0,09/10,LaLiga2,Celta de Vigo,20,16,"1,13",1,-,-,-,1,5,-,-,-,1.412',1.412',-,-
82439,3820.0,09/10,Copa del Rey,Celta de Vigo,7,7,"2,00",-,-,-,-,-,2,-,-,-,-,630',-,-
82440,3820.0,08/09,Segunda División B - Grupo I,Celta de Vigo B,2,2,"3,00",-,-,-,-,-,-,1,-,-,-,177',-,-
82441,3821.0,16/17,LaLiga2,Elche CF,12,11,"1,36",1,1,-,1,1,4,-,-,-,855',855',-,-
82442,3821.0,15/16,LaLiga2,Elche CF,31,31,"1,48",4,-,1,2,1,10,-,-,-,659',2.637',-,-
82443,3821.0,15/16,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,-,1,-,-,-,-,120',-,-
82444,3821.0,14/15,CONCACAF Champions League,New York Red Bulls,4,4,"1,25",-,1,-,1,-,-,-,-,-,-,296',-,-
82445,3821.0,2014,MLS Cup Playoffs,New York Red Bulls,3,1,"0,00",-,-,-,1,-,-,-,-,-,-,-,-,-
82446,3821.0,2014,Major League Soccer,New York Red Bulls,26,19,"1,47",-,-,-,5,1,6,-,-,-,-,1.348',-,-
82447,3821.0,2014,US Open Cup,New York Red Bulls,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82448,3821.0,13/14,LaLiga2,Córdoba CF,15,8,"1,13",1,-,-,1,-,2,1,-,-,697',697',-,-
82449,3821.0,12/13,LaLiga2,Córdoba CF,19,19,"1,37",1,1,-,-,3,6,-,-,-,1.572',1.572',-,-
82450,3821.0,12/13,Copa del Rey,Córdoba CF,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82451,3821.0,12/13,Copa MX Apertura,Tiburones Rojos de Veracruz,5,4,"0,50",-,-,-,-,1,2,-,-,-,-,315',-,-
82452,3821.0,12/13,Ascenso MX Apertura,Tiburones Rojos de Veracruz,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82453,3821.0,11/12,LaLiga2,FC Barcelona B,39,23,"1,52",1,-,1,-,2,6,-,-,-,2.050',2.050',-,-
82454,3821.0,10/11,LaLiga2,FC Barcelona B,29,12,"1,42",-,-,-,2,-,2,-,1,-,-,919',-,-
