,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3837,tmssl.akamaized.net//bilder/spielerfotos/s_94560_993_2012_1.jpg?lm=0,Pedro,-,15,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,700 miles € ,145.0,"1,75m",derecho,30,12/12/1986,30.06.2020,Delantero - Extremo derecho,07/07/2016,InterStarDeporte,Aspe  ,-
3838,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Pablo Hervías,Pablo Hervías Ruiz,17,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,145.0,"1,74m",derecho,23,08/03/1993,30.06.2017,Delantero - Extremo derecho,10/08/2016,-,Logroño  ,-
3839,tmssl.akamaized.net//images/portrait/header/72201-1447319906.jpg?lm=1447319963,Hugo Fraile,Hugo Fraile Martínez,10,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,145.0,"1,70m",derecho,29,16/03/1987,30.06.2018,Delantero - Extremo derecho,26/01/2016,-,Madrid  ,-
3840,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Eldin Hadzic,Eldin Hadžić,7,Bosnia y Herzegovina,//tmssl.akamaized.net//images/flagge/verysmall/24.png?lm=1396275450,400 miles € ,145.0,"1,74m",derecho,25,14/10/1991,30.06.2019,Delantero - Media punta,26/01/2016,InterStarDeporte,Sarajevo  ,-
3841,tmssl.akamaized.net//images/portrait/header/142023-1447152140.jpg?lm=1447152182,Guillermo,-,19,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,800 miles € ,145.0,"1,81m",derecho,23,23/05/1993,30.06.2018,Delantero - Delantero centro,17/08/2016,-,Bilbao  ,-
3842,tmssl.akamaized.net//bilder/spielerfotos/s_29178_331_2012_2.jpg?lm=0,Nino,Juan Francisco Martínez Modesto,11,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,145.0,"1,69m",derecho,36,10/06/1980,30.06.2017,Delantero - Delantero centro,19/08/2016,YOU FIRST SPORTS,Almería  ,-
3843,tmssl.akamaized.net//images/portrait/header/45532-1479453516.jpg?lm=1479453527,Dominique Malonga,Dominique Sossorobla Malonga,25,Congo,//tmssl.akamaized.net//images/flagge/verysmall/85.png?lm=1396275478,200 miles € ,145.0,"1,85m",derecho,28,08/01/1989,30.06.2017,Delantero - Delantero centro,30/01/2017,Reset Group Srl,Chatenay-Malabry  ,-
3844,tmssl.akamaized.net//bilder/spielerfotos/somebody.jpg?lm=0,Dani Hernández,Daniel Hernández Santos,25,Venezuela,//tmssl.akamaized.net//images/flagge/verysmall/182.png?lm=1396275478,700 miles € ,146.0,"1,97m",derecho,31,21/10/1985,30.06.2018,Portero,15/01/2015,Fußballmanagement,Caracas  ,-
3845,tmssl.akamaized.net//bilder/spielerfotos/s_37367_7971_2010_1.jpg?lm=0,Ismael Falcón,Ismael Gómez Falcón,1,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,85m",-,32,24/04/1984,30.06.2017,Portero,18/07/2016,-,Cádiz  ,-
3846,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Alberto Jiménez,Alberto Jiménez Benítez,5,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,146.0,"1,86m",derecho,24,15/11/1992,30.06.2018,Defensa - Defensa central,01/01/2013,promoesport bcn,La Oliva  ,-
3847,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Germán Sánchez,Germán Sánchez Barahona,3,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,87m",-,30,31/10/1986,30.06.2017,Defensa - Defensa central,10/07/2015,-,San Fernando  ,-
3848,tmssl.akamaized.net//bilder/spielerfotos/s_72421_4032_2012_2.jpg?lm=0,Carlos Ruiz,Carlos Ruiz Arenaga,14,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,79m",derecho,33,20/07/1983,30.06.2017,Defensa - Defensa central,01/07/2013,Monte Areo Sports,Baza  ,-
3849,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Jorge Sáenz,Jorge Sáenz de Miera Colmeiro,21,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,92m",derecho,20,17/11/1996,30.06.2018,Defensa - Defensa central,01/07/2015,-,-,-
3850,tmssl.akamaized.net//bilder/spielerfotos/s_89449_993_2010_1.jpg?lm=0,Samuel Camille,Samuel Geoffroy Camille,4,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,300 miles € ,146.0,"1,76m",izquierdo,31,02/02/1986,30.06.2018,Defensa - Lateral izquierdo,01/07/2016,ISG,Saint-Denis  ,-
3851,tmssl.akamaized.net//bilder/spielerfotos/s_57795_134_2012_1.jpg?lm=0,Raúl Cámara,Raúl Miguel Cámara,23,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,71m",derecho,32,28/02/1984,30.06.2017,Defensa - Lateral derecho,01/07/2013,-,Madrid  ,-
