,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
39030,5740.0,12/13,31/01/2013,Pescara,AC Siena,300 miles €,Préstamo
39031,5740.0,12/13,07/08/2012,Varese,Pescara,350 miles €,250 miles €
39032,5740.0,11/12,01/07/2011,Catania,Varese,600 miles €,gratuito
39033,5740.0,07/08,01/07/2007,UC Sampdoria,Catania,"4,00 mill. €",?
39034,5740.0,06/07,01/07/2006,US Palermo,UC Sampdoria,"5,60 mill. €","1,50 mill. €"
39035,5740.0,03/04,01/07/2003,AC Cesena,US Palermo,-,?
39036,5740.0,02/03,01/07/2002,Teramo,AC Cesena,-,?
39037,5740.0,01/02,01/07/2001,Termoli,Teramo,-,?
39038,5740.0,00/01,01/01/2001,Selargius,Termoli,-,?
39039,5740.0,00/01,01/07/2000,Lupa Cast Rom,Selargius,-,?
39040,5740.0,99/00,01/07/1999,SS Tivoli 1919,Lupa Cast Rom,-,?
39041,5740.0,98/99,01/07/1998,AS Lodigiani,SS Tivoli 1919,-,?
39042,5741.0,16/17,01/07/2016,Trapani U19,Trapani,50 miles €,-
39043,5741.0,14/15,15/01/2015,Sancataldese,Trapani U19,-,?
39044,5742.0,16/17,26/08/2016,Avellino,Trapani,350 miles €,?
39045,5742.0,14/15,01/07/2014,Cremonese,AS Avellino,150 miles €,Libre
39046,5742.0,12/13,11/07/2012,Lupa Piacenza,Cremonese,100 miles €,-
39047,5742.0,10/11,30/06/2011,Pavia,Piacenza FC,75 miles €,Fin de préstamo
39048,5742.0,09/10,01/08/2009,Piacenza FC,Pavia,-,Préstamo
39049,5742.0,09/10,01/07/2009,Piacenza U19,Piacenza FC,-,-
39050,5743.0,13/14,08/07/2013,Reggina,Trapani,500 miles €,Libre
39051,5743.0,09/10,08/07/2009,Ancona,Reggina,350 miles €,?
39052,5743.0,06/07,01/01/2007,Perugia,Ancona,50 miles €,?
39053,5743.0,05/06,01/01/2006,Catanzaro,Perugia,50 miles €,?
39054,5743.0,05/06,01/08/2005,Torino,Catanzaro,50 miles €,?
39055,5743.0,04/05,31/12/2004,Chievo Verona,Torino,-,Fin de préstamo
39056,5743.0,04/05,01/07/2004,Torino,Chievo Verona,-,Préstamo
39057,5743.0,03/04,01/07/2003,Vis Pesaro,Torino,-,?
39058,5743.0,01/02,01/07/2001,Fano,Vis Pesaro,-,?
39059,5743.0,99/00,01/07/1999,Alma Fano Youth,Fano,-,-
39060,5744.0,15/16,02/07/2015,Ternana,Trapani,500 miles €,Libre
39061,5744.0,11/12,01/08/2011,Andria,Ternana,125 miles €,?
39062,5744.0,10/11,01/07/2010,Casarano,Andria,-,?
39063,5744.0,09/10,01/07/2009,Igea Virtus,Casarano,-,?
39064,5744.0,07/08,01/07/2007,Virtus B. Youth,Igea Virtus,-,-
39065,5745.0,07/08,01/07/2007,Alcamo,Trapani,-,?
39066,5745.0,06/07,01/07/2006,Carpi,Alcamo,-,?
39067,5746.0,16/17,31/08/2016,Cagliari,Trapani,150 miles €,Préstamo
39068,5746.0,16/17,30/08/2016,AC Pisa,Cagliari,150 miles €,Fin de préstamo
39069,5746.0,16/17,11/07/2016,Cagliari U19,AC Pisa,150 miles €,Préstamo
39070,5746.0,15/16,01/07/2015,River Plate U20,Cagliari U19,-,Libre
39071,5747.0,16/17,09/01/2017,Sin equipo,Trapani,900 miles €,-
39072,5747.0,16/17,01/07/2016,Juventus,Sin equipo,"1,70 mill. €",-
39073,5747.0,15/16,30/06/2016,Pro Vercelli,Juventus,"1,70 mill. €",Fin de préstamo
39074,5747.0,15/16,30/08/2015,Juventus,Pro Vercelli,"2,50 mill. €",Préstamo
39075,5747.0,14/15,30/06/2015,Córdoba CF,Juventus,"3,00 mill. €",Fin de préstamo
39076,5747.0,14/15,31/07/2014,Juventus,Córdoba CF,"2,00 mill. €",Préstamo
39077,5747.0,13/14,30/06/2014,Real Valladolid,Juventus,"2,00 mill. €",Fin de préstamo
39078,5747.0,13/14,28/08/2013,Juventus,Real Valladolid,500 miles €,Préstamo
39079,5747.0,12/13,30/06/2013,Brescia,Juventus,500 miles €,Fin de préstamo
39080,5747.0,11/12,01/01/2012,Juventus,Brescia,400 miles €,Préstamo
39081,5747.0,11/12,01/12/2011,Vicenza,Juventus,400 miles €,"1,70 mill. €"
39082,5747.0,10/11,01/07/2010,Juventus U19,Vicenza,100 miles €,?
39083,5748.0,15/16,04/01/2016,Modena FC,Trapani,600 miles €,?
39084,5748.0,14/15,08/07/2014,Trapani,Modena FC,600 miles €,Libre
39085,5748.0,13/14,01/07/2013,Cremonese,Trapani,250 miles €,?
39086,5748.0,12/13,27/09/2012,Sin equipo,Cremonese,350 miles €,-
39087,5748.0,12/13,01/07/2012,Cremonese,Sin equipo,350 miles €,-
39088,5748.0,09/10,01/07/2009,Legnano,Cremonese,-,?
39089,5748.0,08/09,01/07/2008,AC Mezzocorona,Legnano,-,?
39090,5748.0,07/08,01/07/2007,AS Castelnuovo,AC Mezzocorona,-,?
39091,5748.0,06/07,01/07/2006,Feralpisalò,AS Castelnuovo,-,?
39092,5748.0,05/06,01/07/2005,Hellas U19,Feralpisalò,-,?
39093,5749.0,14/15,11/07/2014,Reggina,Trapani,700 miles €,Libre
39094,5749.0,13/14,21/01/2014,UC Sampdoria,Reggina,700 miles €,Fin de préstamo
39095,5749.0,13/14,02/09/2013,Reggina,UC Sampdoria,900 miles €,Préstamo
39096,5749.0,07/08,30/06/2008,Ravenna,Reggina,450 miles €,Fin de préstamo
39097,5749.0,07/08,01/06/2008,Reggina,Ravenna,250 miles €,Préstamo
39098,5749.0,06/07,01/07/2006,Reggina Primaver,Reggina,125 miles €,-
39099,5750.0,16/17,11/01/2017,Feralpisalò,Trapani,275 miles €,?
