,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
13936,2095.0,13/14,19/07/2013,Rio Ave FC,Monaco,"2,50 mill. €",Préstamo
13937,2095.0,12/13,30/06/2013,R. M. Castilla,Rio Ave FC,"2,50 mill. €",Fin de préstamo
13938,2095.0,12/13,19/07/2012,Rio Ave FC,R. M. Castilla,-,Préstamo
13939,2095.0,12/13,01/07/2012,Fluminense B,Rio Ave FC,-,?
13940,2096.0,14/15,28/07/2014,Rennes,Monaco,"1,25 mill. €","8,00 mill. €"
13941,2096.0,13/14,01/07/2013,Rennes B,Rennes,-,-
13942,2096.0,12/13,01/07/2012,Rennes U19,Rennes B,-,-
13943,2097.0,16/17,01/07/2016,Monaco B,Monaco,-,-
13944,2098.0,13/14,01/07/2013,FC Porto,Monaco,"30,00 mill. €","25,00 mill. €"
13945,2098.0,10/11,03/07/2010,Sporting CP,FC Porto,"14,50 mill. €","11,00 mill. €"
13946,2098.0,04/05,01/07/2004,Sporting U19,Sporting CP,-,-
13947,2099.0,15/16,30/06/2016,Standard Lieja,Monaco,"4,00 mill. €",Fin de préstamo
13948,2099.0,15/16,09/01/2016,Monaco,Standard Lieja,"5,00 mill. €",Préstamo
13949,2099.0,15/16,11/08/2015,São Paulo,Monaco,"3,00 mill. €","9,06 mill. €"
13950,2099.0,13/14,20/01/2014,São Paulo U17,São Paulo,-,-
13951,2100.0,15/16,01/07/2015,SM Caen,Monaco,"1,25 mill. €","4,00 mill. €"
13952,2100.0,13/14,01/07/2013,SM Caen B,SM Caen,-,-
13953,2100.0,11/12,01/07/2011,SM Caen U19,SM Caen B,-,-
13954,2100.0,10/11,01/07/2010,Solidarité,SM Caen U19,-,Libre
13955,2101.0,14/15,20/01/2015,Benfica,Monaco,"3,50 mill. €","15,75 mill. €"
13956,2101.0,14/15,19/01/2015,Monaco,Benfica,"3,50 mill. €",Fin de préstamo
13957,2101.0,14/15,07/08/2014,Benfica,Monaco,"2,50 mill. €",Préstamo
13958,2101.0,14/15,01/07/2014,Benfica B,Benfica,"2,50 mill. €",-
13959,2101.0,13/14,01/07/2013,Benfica U19,Benfica B,-,-
13960,2101.0,11/12,01/07/2011,Benfica U17,Benfica U19,-,-
13961,2102.0,11/12,31/01/2012,Club Brugge,Monaco,"3,50 mill. €","6,00 mill. €"
13962,2102.0,08/09,01/07/2008,KVC Westerlo,Club Brugge,"1,00 mill. €","1,80 mill. €"
13963,2102.0,06/07,01/07/2006,Diegem Sport,KVC Westerlo,-,Libre
13964,2102.0,04/05,01/07/2004,Saint Gilloise,Diegem Sport,-,Libre
13965,2103.0,15/16,30/06/2016,Chelsea,Monaco,"23,00 mill. €",Fin de préstamo
13966,2103.0,15/16,03/07/2015,Monaco,Chelsea,"35,00 mill. €","Tarifa de préstamo:7,00 mill. €"
13967,2103.0,14/15,30/06/2015,Manchester Utd.,Monaco,"45,00 mill. €",Fin de préstamo
13968,2103.0,14/15,01/09/2014,Monaco,Manchester Utd.,"55,00 mill. €","Tarifa de préstamo:7,60 mill. €"
13969,2103.0,13/14,01/07/2013,Atlético Madrid,Monaco,"60,00 mill. €","43,00 mill. €"
13970,2103.0,11/12,18/08/2011,FC Porto,Atlético Madrid,"25,00 mill. €","40,00 mill. €"
13971,2103.0,09/10,15/07/2009,River Plate,FC Porto,"6,50 mill. €","5,43 mill. €"
13972,2103.0,05/06,01/07/2005,River Plate U20,River Plate,-,-
13973,2104.0,15/16,06/03/2016,Monaco U19,Monaco,250 miles €,-
13974,2104.0,15/16,01/07/2015,Monaco Jugend,Monaco U19,-,-
13975,2105.0,15/16,30/06/2016,OGC Nice,Monaco,"5,50 mill. €",Fin de préstamo
13976,2105.0,15/16,07/07/2015,Monaco,OGC Nice,"3,00 mill. €",Préstamo
13977,2105.0,11/12,01/07/2011,Monaco B,Monaco,50 miles €,-
13978,2106.0,15/16,01/07/2015,Estudiantes,Monaco,"3,20 mill. €","9,00 mill. €"
13979,2106.0,11/12,01/07/2011,Estudiantes U20,Estudiantes,-,-
13980,2107.0,14/15,01/07/2014,Niza B,OGC Nice,-,-
13981,2108.0,16/17,01/07/2016,Quilmes,OGC Nice,"3,50 mill. €",Libre
13982,2108.0,13/14,01/07/2013,Quilmes AC U20,Quilmes,-,-
13983,2109.0,14/15,07/08/2014,FC Sochaux,OGC Nice,"2,00 mill. €",Libre
13984,2109.0,12/13,01/07/2012,Sin equipo,FC Sochaux,500 miles €,-
13985,2109.0,11/12,01/07/2011,SC Freiburg,Sin equipo,"3,00 mill. €",-
13986,2109.0,08/09,28/07/2008,Rennes,SC Freiburg,"4,00 mill. €",400 miles €
13987,2109.0,04/05,01/07/2004,Rennes U19,Rennes,-,-
13988,2110.0,16/17,01/07/2016,St-Étienne,OGC Nice,"1,50 mill. €",500 miles €
13989,2110.0,15/16,30/06/2016,OGC Nice,St-Étienne,"1,50 mill. €",Fin de préstamo
13990,2110.0,15/16,07/08/2015,St-Étienne,OGC Nice,"1,00 mill. €",Préstamo
13991,2110.0,13/14,10/07/2013,Stade Brestois,St-Étienne,"2,50 mill. €","1,00 mill. €"
13992,2110.0,10/11,30/08/2010,CS Sedan,Stade Brestois,900 miles €,"1,00 mill. €"
13993,2110.0,08/09,25/08/2008,G. Bordeaux,CS Sedan,800 miles €,?
13994,2110.0,07/08,30/06/2008,CS Sedan,G. Bordeaux,800 miles €,Fin de préstamo
13995,2110.0,07/08,10/08/2007,G. Bordeaux,CS Sedan,300 miles €,Tarifa de préstamo:100 miles €
13996,2110.0,06/07,01/07/2006,G. Bordeaux B,G. Bordeaux,-,-
13997,2111.0,16/17,01/07/2016,Nizza U19,OGC Nice,-,-
13998,2112.0,15/16,01/07/2015,AC Le Havre,OGC Nice,800 miles €,600 miles €
13999,2112.0,10/11,01/07/2010,Rennes,AC Le Havre,900 miles €,Spielertausch
14000,2112.0,09/10,30/06/2010,AC Le Havre,Rennes,900 miles €,Fin de préstamo
14001,2112.0,09/10,20/07/2009,Rennes,AC Le Havre,-,Préstamo
14002,2112.0,09/10,01/07/2009,Rennes B,Rennes,-,-
14003,2113.0,16/17,23/08/2016,VfL Wolfsburg,OGC Nice,"2,00 mill. €","2,50 mill. €"
14004,2113.0,15/16,30/08/2015,Bayern Múnich,VfL Wolfsburg,"6,00 mill. €","4,50 mill. €"
14005,2113.0,12/13,01/07/2012,Bor. M'gladbach,Bayern Múnich,"8,00 mill. €","4,70 mill. €"
14006,2113.0,08/09,01/01/2009,Standard Lieja,Bor. M'gladbach,"2,50 mill. €","2,50 mill. €"
14007,2113.0,06/07,01/01/2007,RSC Charleroi,Standard Lieja,800 miles €,600 miles €
14008,2113.0,06/07,01/07/2006,LOSC Lille,RSC Charleroi,250 miles €,100 miles €
14009,2113.0,05/06,30/06/2006,RSC Charleroi,LOSC Lille,250 miles €,Fin de préstamo
14010,2113.0,05/06,23/01/2006,LOSC Lille,RSC Charleroi,250 miles €,Préstamo
14011,2113.0,03/04,31/01/2004,Juventude,LOSC Lille,-,?
14012,2113.0,01/02,01/01/2002,Capivariano FC,Juventude,-,?
14013,2114.0,15/16,01/07/2015,Niza B,OGC Nice,-,-
14014,2114.0,13/14,01/07/2013,Nizza U19,Niza B,-,-
14015,2115.0,16/17,06/07/2016,Vit. Guimarães,OGC Nice,750 miles €,"2,00 mill. €"
14016,2115.0,15/16,01/07/2015,Académico Viseu,Vit. Guimarães,250 miles €,?
14017,2115.0,13/14,01/07/2013,Flamengo,Académico Viseu,-,?
14018,2115.0,12/13,01/01/2013,Barra Mansa Futebol Clube (RJ),Flamengo,-,?
14019,2115.0,12/13,31/12/2012,Fluminense,Barra Mansa Futebol Clube (RJ),-,Fin de préstamo
14020,2115.0,11/12,01/01/2012,Barra Mansa Futebol Clube (RJ),Fluminense,-,Préstamo
14021,2116.0,15/16,01/07/2015,Niza B,OGC Nice,-,-
14022,2116.0,14/15,01/07/2014,Nizza U19,Niza B,-,-
14023,2117.0,15/16,31/08/2015,FC Porto,OGC Nice,"3,75 mill. €",Préstamo
14024,2117.0,14/15,01/01/2015,Porto B,FC Porto,"4,00 mill. €",-
14025,2117.0,13/14,01/07/2013,Vit. Guimarães,Porto B,"1,80 mill. €","1,60 mill. €"
14026,2117.0,11/12,01/01/2012,Guimarães U19,Vit. Guimarães,-,-
14027,2117.0,11/12,01/07/2011,Naval 1º U19,Guimarães U19,-,?
14028,2117.0,10/11,01/07/2010,Sporting U19,Naval 1º U19,-,?
14029,2117.0,09/10,01/07/2009,Sporting Sub17,Sporting U19,-,-
14030,2118.0,16/17,25/07/2016,Dijon,OGC Nice,700 miles €,"1,25 mill. €"
14031,2118.0,15/16,01/07/2015,Poiré-sur-Vie,Dijon,150 miles €,Libre
14032,2118.0,14/15,12/11/2014,JA Drancy,Poiré-sur-Vie,150 miles €,Libre
14033,2118.0,14/15,20/10/2014,Sin equipo,JA Drancy,150 miles €,-
14034,2118.0,14/15,01/07/2014,LOSC Lille B,Sin equipo,150 miles €,-
14035,2118.0,13/14,01/07/2013,LOSC Lille,LOSC Lille B,150 miles €,-
14036,2118.0,12/13,30/06/2013,Mouscron,LOSC Lille,150 miles €,Fin de préstamo
14037,2118.0,12/13,17/07/2012,LOSC Lille,Mouscron,250 miles €,Préstamo
14038,2118.0,11/12,30/06/2012,Paris FC,LOSC Lille,250 miles €,Fin de préstamo
14039,2118.0,11/12,01/07/2011,LOSC Lille,Paris FC,250 miles €,Préstamo
14040,2118.0,10/11,01/07/2010,LOSC Lille B,LOSC Lille,-,-
14041,2118.0,09/10,01/07/2009,LOSC Lille U19,LOSC Lille B,-,-
14042,2119.0,16/17,01/07/2016,Niza B,OGC Nice,-,-
14043,2119.0,13/14,01/07/2013,Nizza U19,Niza B,-,-
14044,2120.0,15/16,16/01/2016,AS Nancy,OGC Nice,"2,00 mill. €","1,00 mill. €"
14045,2120.0,14/15,01/07/2014,AS Nancy B,AS Nancy,"1,50 mill. €",-
14046,2120.0,13/14,01/07/2013,AS Nancy U19,AS Nancy B,-,-
14047,2121.0,15/16,30/06/2016,Red Star FC,OGC Nice,"1,00 mill. €",Fin de préstamo
14048,2121.0,15/16,25/01/2016,OGC Nice,Red Star FC,"1,00 mill. €",Préstamo
14049,2121.0,15/16,01/07/2015,Niza B,OGC Nice,-,-
14050,2121.0,13/14,01/07/2013,Nizza U19,Niza B,-,-
14051,2122.0,15/16,01/07/2015,Paços Ferreira,OGC Nice,"2,00 mill. €","1,00 mill. €"
14052,2122.0,13/14,30/08/2013,ASEC Mimosas,Paços Ferreira,-,Libre
14053,2122.0,12/13,30/06/2013,Porto B,ASEC Mimosas,-,Fin de préstamo
14054,2122.0,12/13,03/11/2012,ASEC Mimosas,Porto B,-,Préstamo
14055,2122.0,09/10,09/01/2010,Africa Sports,ASEC Mimosas,-,?
14056,2123.0,15/16,01/07/2015,Niza B,OGC Nice,-,-
14057,2123.0,14/15,01/07/2014,Nizza U19,Niza B,-,-
14058,2123.0,13/14,01/07/2013,AS Cannes U19,Nizza U19,-,Libre
14059,2124.0,16/17,27/07/2016,Lens,OGC Nice,"2,50 mill. €","5,00 mill. €"
14060,2124.0,12/13,11/03/2013,RC Lens U19,Lens,-,-
14061,2125.0,16/17,31/01/2017,LOSC Lille,OGC Nice,"1,00 mill. €",Libre
14062,2125.0,15/16,10/07/2015,Monaco,LOSC Lille,"1,50 mill. €",Libre
14063,2125.0,14/15,30/06/2015,Hellas Verona,Monaco,"1,50 mill. €",Fin de préstamo
14064,2125.0,14/15,15/07/2014,Monaco,Hellas Verona,"2,75 mill. €",Préstamo
14065,2125.0,12/13,24/01/2013,Troyes,Monaco,"1,25 mill. €","1,20 mill. €"
