,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
2888,tmssl.akamaized.net//images/portrait/header/45613-1467016446.jpg?lm=1467016697,Sergey Kislyak,Кисляк Сергей Викторович,15,Bielorrusia,//tmssl.akamaized.net//images/flagge/verysmall/18.png?lm=1396275478,800 miles € ,109.0,"1,85m",derecho,29,06/08/1987,30.06.2018,Medio campo - Pivote,01/07/2016,MVA Sports Management,Kamenets  ,-
2889,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Mohammed Fatau,-,66,Ghana,//tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1396275450,500 miles € ,109.0,"1,78m",derecho,24,24/12/1992,30.06.2019,Medio campo - Pivote,23/08/2016,-,Accra  ,-
2890,tmssl.akamaized.net//images/portrait/header/241007-1476298291.png?lm=1476298314,Khaly Thiam,Khaly Iyane Thiam,-,Senegal,//tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1396275486,350 miles € ,109.0,"1,86m",derecho,23,07/01/1994,30.06.2020,Medio campo - Pivote,25/01/2017,The Footballers Group,Dakar  ,-
2891,tmssl.akamaized.net//images/portrait/header/57255-1465322543.jpg?lm=1465322562,Abdülkadir Kayali,Abdülkadir Kayalı,5,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",109.0,"1,80m",derecho,26,30/01/1991,30.06.2018,Medio campo - Medio centro,14/08/2014,Haluk Canatar,Ankara  ,-
2892,tmssl.akamaized.net//bilder/spielerfotos/s_59059_4_2012_4.jpg?lm=0,Muhammed Ildiz,-,20,Austria,//tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1396275477,900 miles € ,109.0,"1,80m",derecho,25,14/05/1991,30.06.2017,Medio campo - Medio centro,25/01/2014,Sports United GmbH,Wien  ,-
2893,tmssl.akamaized.net//bilder/spielerfotos/s_270576_20_2013_08_08_1.jpg?lm=0,Doganay Kilic,Doğanay Kılıç,8,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,150 miles € ,109.0,-,-,20,08/06/1996,30.06.2020,Medio campo - Medio centro,01/02/2016,F-F SPORT,Samsun  ,-
2894,tmssl.akamaized.net//images/portrait/header/233113-1481969619.jpeg?lm=1481969638,Orkan Cinar,Orkan Çınar,10,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",109.0,"1,78m",izquierdo,21,29/01/1996,30.06.2019,Medio campo - Interior derecho,10/08/2015,ASBW Sport Marketing,Dortmund  ,-
2895,tmssl.akamaized.net//images/portrait/header/315272-1448023453.jpg?lm=1448023488,Alpay Kocakli,Alpay Koçaklı,17,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,109.0,"1,77m",derecho,18,19/09/1998,30.06.2021,Medio campo - Interior derecho,01/02/2016,F-F SPORT,Zonguldak  ,-
2896,tmssl.akamaized.net//images/portrait/header/35872-1438065384.jpg?lm=1438065400,Änis Ben-Hatira,أنيس بن حتيرة,-,Túnez,//tmssl.akamaized.net//images/flagge/verysmall/173.png?lm=1396275477,500 miles € ,109.0,"1,81m",izquierdo,28,18/07/1988,30.06.2017,Medio campo - Interior izquierdo,31/01/2017,ROGON,Berlin  ,Nike
2897,tmssl.akamaized.net//bilder/spielerfotos/s_59491_12438_2012_1.jpg?lm=0,Anton Putsila,Путило Антон Константинович,14,Bielorrusia,//tmssl.akamaized.net//images/flagge/verysmall/18.png?lm=1396275478,"1,00 mill. € ",109.0,"1,80m",derecho,29,10/06/1987,30.06.2017,Medio campo - Medio centro ofensivo,14/07/2015,MVA Sports Management,Orsha  ,-
