,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
4432,tmssl.akamaized.net//bilder/spielerfotos/s_1320_985_2009_1.jpg?lm=0,Tomasz Kuszczak,Tomasz Mirosław Kuszczak,29,Polonia,//tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1396275477,750 miles € ,169.0,"1,91m",derecho,34,20/03/1982,30.06.2017,Portero,01/07/2015,-,Krosno Odrzańskie  ,-
4433,tmssl.akamaized.net//bilder/spielerfotos/s_43858_22_2013_09_26_1.jpg?lm=0,Adam Legzdins,Adam Richard Legzdins,1,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,250 miles € ,169.0,"1,90m",-,30,28/11/1986,30.06.2017,Portero,01/07/2015,-,Penkridge  ,-
4434,tmssl.akamaized.net//images/portrait/header/287247-1421324551.jpg?lm=1433144213,Krystian Bielik,-,31,Polonia,//tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1396275477,"1,50 mill. € ",169.0,"1,89m",derecho,19,04/01/1998,31.05.2017,Defensa - Defensa central,31/01/2017,CK Sport,Konin  ,-
4435,tmssl.akamaized.net//images/portrait/header/66497-1477405874.jpg?lm=1477405897,Michael Morrison,Michael Brian Morrison,28,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,700 miles € ,169.0,"1,83m",derecho,28,03/03/1988,30.06.2019,Defensa - Defensa central,01/01/2015,LIROMA AGENCIAMENTO ESPORTIVO LTD,Bury St Edmunds  ,-
4436,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Paul Robinson,Paul Peter Robinson,4,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,250 miles € ,169.0,"1,75m",izquierdo,38,14/12/1978,30.06.2017,Defensa - Defensa central,25/09/2012,SEM Group plc.,Watford  ,-
4437,tmssl.akamaized.net//images/portrait/header/330289-1444646044.jpg?lm=1444646057,Cheick Keita,-,33,Malí,//tmssl.akamaized.net//images/flagge/verysmall/105.png?lm=1396275477,900 miles € ,169.0,"1,82m",izquierdo,20,16/04/1996,30.06.2020,Defensa - Lateral izquierdo,19/01/2017,Football Capital,Paris  ,-
4438,tmssl.akamaized.net//bilder/spielerfotos/s_57490_1078_2013_09_24_1.jpg?lm=0,Jonathan Grounds,Jonathan Martin Grounds,3,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,500 miles € ,169.0,"1,85m",izquierdo,29,02/02/1988,30.06.2017,Defensa - Lateral izquierdo,01/07/2014,-,Thornaby-on-Tees  ,-
4439,tmssl.akamaized.net//bilder/spielerfotos/s_59558_237_2012_10_24_1.jpg?lm=0,Emilio Nsue,Emilio Nsue López,2,Guinea Ecuatorial,//tmssl.akamaized.net//images/flagge/verysmall/8.png?lm=1396275450,"2,00 mill. € ",169.0,"1,78m",derecho,27,30/09/1989,30.06.2020,Defensa - Lateral derecho,18/01/2017,Base Soccer Agency Ltd,Palma de Mallorca  ,-
4440,tmssl.akamaized.net//bilder/spielerfotos/s_92109_512_2013_03_08_1.jpg?lm=0,Ryan Shotton,Ryan Colin Shotton,5,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,750 miles € ,169.0,"1,89m",derecho,28,30/09/1988,30.06.2019,Defensa - Lateral derecho,01/07/2016,Beswicks Sports Ltd,Fenton  ,Nike
4441,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Josh Cogley,Joshua Jacob Dacres-Cogley,25,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477, ,169.0,"1,74m",derecho,20,12/03/1996,30.06.2020,Defensa - Lateral derecho,01/07/2016,-,-,-
