,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
1306,tmssl.akamaized.net//images/portrait/header/255901-1447247666.jpg?lm=1447247680,Rodrigo de Paul,Rodrigo Javier de Paul,10,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"3,00 mill. € ",51.0,"1,80m",derecho,22,24/05/1994,30.06.2021,Delantero - Extremo izquierdo,20/07/2016,Mioc &amp; Prskalo,Sarandí  ,Puma
1307,tmssl.akamaized.net//images/portrait/header/288499-1466769078.jpg?lm=1466769087,Ewandro,-,96,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",51.0,"1,74m",izquierdo,20,15/03/1996,30.06.2021,Delantero - Extremo derecho,06/07/2016,EUROPE SPORTS GROUP,Recife  ,-
1308,tmssl.akamaized.net//images/portrait/header/62713-1449137413.jpg?lm=1449137449,Ryder Matos,Ryder Matos Santos,19,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"2,50 mill. € ",51.0,"1,81m",derecho,23,27/02/1993,30.06.2020,Delantero - Media punta,30/01/2016,Sin agente,Seabra  ,-
1309,tmssl.akamaized.net//images/portrait/header/73794-1449133099.jpg?lm=1449133178,DuvĂĄn Zapata,-,9,Colombia,//tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1396275477,"8,00 mill. € ",51.0,"1,89m",derecho,25,01/04/1991,30.06.2017,-,22/07/2015,Sbsfoot,Cali  ,-
1310,tmssl.akamaized.net//images/portrait/header/245072-1449133287.jpg?lm=1449133303,Stipe Perica,-,18,Croacia,//tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1396275477,"2,50 mill. € ",51.0,"1,92m",derecho,21,07/07/1995,30.06.2021,Delantero - Delantero centro,01/07/2016,Sin agente,Zadar  ,-
1311,tmssl.akamaized.net//images/portrait/header/29316-1449133143.jpg?lm=1449133169,Cyril Théréau,-,77,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"1,80 mill. € ",51.0,"1,89m",derecho,33,24/04/1983,30.06.2019,Delantero - Delantero centro,01/07/2014,Gallea Gestion S.A,Privas  ,Nike
1312,tmssl.akamaized.net//images/portrait/header/46477-1485960816.jpg?lm=1485960830,Mathias Ranégie,-,13,Suecia,//tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1396275478,500 miles € ,51.0,"1,96m",derecho,32,14/06/1984,30.06.2017,Delantero - Delantero centro,31/01/2017,Global Soccer Management,Göteborg  ,-
1313,tmssl.akamaized.net//images/portrait/header/24316-1448966544.jpg?lm=1448966555,Emiliano Viviano,-,2,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"5,00 mill. € ",52.0,"1,95m",izquierdo,31,01/12/1985,30.06.2021,Portero,01/07/2016,Promosport s.r.l.,Fiesole  ,-
1314,tmssl.akamaized.net//images/portrait/header/48003-1448966588.jpg?lm=1448966601,Christian Puggioni,-,1,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,300 miles € ,52.0,"1,87m",derecho,36,17/01/1981,30.06.2019,Portero,02/07/2015,P&amp;P; Sport Management sam.,Genova  ,-
1315,tmssl.akamaized.net//images/portrait/header/238537-1486639105.jpg?lm=1486639124,Wladimiro Falcone,-,30,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,200 miles € ,52.0,"1,95m",derecho,21,12/04/1995,30.06.2020,Portero,21/01/2014,-,Roma  ,-
1316,tmssl.akamaized.net//images/portrait/header/353609-1468935377.jpg?lm=1468935383,Titas Krapikas,-,12,Lituania,//tmssl.akamaized.net//images/flagge/verysmall/98.png?lm=1396275486,100 miles € ,52.0,"1,95m",derecho,18,03/01/1999,30.06.2019,Portero,01/07/2016,MVA Sports Management,Kaunas  ,-
1317,tmssl.akamaized.net//images/portrait/header/20003-1448964642.jpg?lm=1448964656,Matías Silvestre,Matías Agustín Silvestre,26,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"2,00 mill. € ",52.0,"1,85m",derecho,32,25/09/1984,30.06.2019,Defensa - Defensa central,09/07/2015,Fiorio Management S.R.L.,Mercedes  ,Nike
1318,tmssl.akamaized.net//images/portrait/header/204069-1464947109.jpg?lm=1464947130,Milan Skriniar,-,37,Eslovaquia,//tmssl.akamaized.net//images/flagge/verysmall/154.png?lm=1396275478,"2,00 mill. € ",52.0,"1,87m",izquierdo,22,11/02/1995,30.06.2020,-,29/01/2016,Stars &amp; Friends,Ĺ˝iar nad Hronom  ,-
1319,tmssl.akamaized.net//images/portrait/header/226093-1485885700.jpg?lm=1485885766,Lorenco Simic,Lorenco Šimić,4,Croacia,//tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1396275477,"1,00 mill. € ",52.0,"1,95m",derecho,20,15/07/1996,30.06.2021,Defensa - Defensa central,31/01/2017,firsteleven ISM development,Split  ,-
