,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
6830,1056.0,05/06,01/07/2005,Newell's U19,Newell's,-,-
6831,1057.0,15/16,01/07/2015,Newcastle Utd.,Inter de Milán,"7,00 mill. €","3,70 mill. €"
6832,1057.0,14/15,30/06/2015,Inter de Milán,Newcastle Utd.,"7,00 mill. €",Fin de préstamo
6833,1057.0,14/15,02/02/2015,Newcastle Utd.,Inter de Milán,"8,00 mill. €",Préstamo
6834,1057.0,11/12,30/08/2011,Inter,Newcastle Utd.,"7,50 mill. €","5,65 mill. €"
6835,1057.0,10/11,30/06/2011,AC Cesena,Inter,"7,50 mill. €",Fin de préstamo
6836,1057.0,10/11,31/01/2011,Inter,AC Cesena,"9,00 mill. €",Préstamo
6837,1057.0,08/09,01/07/2008,Inter U19,Inter,-,-
6838,1058.0,11/12,01/07/2011,AC Cesena,Inter,"8,50 mill. €","4,50 mill. €"
6839,1058.0,10/11,30/06/2011,Inter,AC Cesena,"8,50 mill. €",Fin de préstamo
6840,1058.0,10/11,31/01/2011,AC Cesena,Inter,"2,80 mill. €","Tarifa de préstamo:2,00 mill. €"
6841,1058.0,10/11,28/01/2011,FC Tokyo,AC Cesena,"2,80 mill. €","1,60 mill. €"
6842,1058.0,10/11,27/01/2011,AC Cesena,FC Tokyo,"2,80 mill. €",Fin de préstamo
6843,1058.0,10/11,14/07/2010,FC Tokyo,AC Cesena,"2,60 mill. €",Tarifa de préstamo:30 miles €
6844,1058.0,06/07,01/01/2007,Meiji Uni,FC Tokyo,-,Libre
6845,1058.0,04/05,01/01/2005,Higashi F HS,Meiji Uni,-,Libre
6846,1059.0,13/14,30/01/2014,Torino,Inter,"5,00 mill. €","3,79 mill. €"
6847,1059.0,09/10,01/01/2010,Juve Stabia,Torino,-,?
6848,1059.0,08/09,01/07/2008,Potenza,Juve Stabia,-,?
6849,1059.0,07/08,01/01/2008,Fiorentina,Potenza,-,?
6850,1059.0,07/08,01/07/2007,Fiorentina U19,Fiorentina,-,-
6851,1059.0,05/06,01/07/2005,Salerno Youth,Fiorentina U19,-,?
6852,1060.0,16/17,28/08/2016,Sporting CP,Inter de Milán,"30,00 mill. €","40,00 mill. €"
6853,1060.0,14/15,01/07/2014,Sporting B,Sporting CP,"2,00 mill. €",-
6854,1060.0,13/14,30/06/2014,Vitória Setúbal,Sporting B,"2,00 mill. €",Fin de préstamo
6855,1060.0,13/14,09/01/2014,Sporting B,Vitória Setúbal,"2,00 mill. €",Préstamo
6856,1060.0,12/13,01/07/2012,Sporting U19,Sporting B,-,-
6857,1060.0,10/11,01/07/2010,Sporting Sub17,Sporting U19,-,-
6858,1060.0,08/09,01/07/2008,Sporting Sub-15,Sporting Sub17,-,-
6859,1060.0,06/07,01/07/2006,Sporting CJ,Sporting Sub-15,-,-
6860,1061.0,16/17,01/07/2016,Dinamo Zagreb,Inter de Milán,"18,00 mill. €","5,00 mill. €"
6861,1061.0,15/16,30/06/2016,Inter de Milán,Dinamo Zagreb,"18,00 mill. €",Fin de préstamo
6862,1061.0,14/15,26/01/2015,Dinamo Zagreb,Inter de Milán,"5,50 mill. €","Tarifa de préstamo:3,00 mill. €"
6863,1061.0,12/13,31/08/2012,NK Lokomotiva,Dinamo Zagreb,600 miles €,"2,40 mill. €"
6864,1061.0,11/12,01/07/2011,Hrv Dragovoljac,NK Lokomotiva,350 miles €,300 miles €
6865,1061.0,10/11,01/07/2010,NK Hrvatski Dragovoljac U19,Hrv Dragovoljac,-,-
6866,1061.0,09/10,01/07/2009,Dragovoljac U17,NK Hrvatski Dragovoljac U19,-,-
6867,1061.0,07/08,01/07/2007,Dragovoljac Jgd,Dragovoljac U17,-,-
6868,1062.0,15/16,01/07/2015,Monaco,Inter de Milán,"16,00 mill. €","36,00 mill. €"
6869,1062.0,13/14,30/08/2013,Sevilla FC,Monaco,"15,00 mill. €","20,00 mill. €"
6870,1062.0,12/13,24/07/2012,Lens,Sevilla FC,"3,00 mill. €","4,00 mill. €"
6871,1062.0,11/12,01/07/2011,RC Lens B,Lens,-,-
6872,1062.0,10/11,01/07/2010,RC Lens U19,RC Lens B,-,-
6873,1063.0,16/17,11/01/2017,Atalanta,Inter de Milán,"8,00 mill. €","Tarifa de préstamo:2,00 mill. €"
6874,1063.0,15/16,28/01/2016,Vicenza,Atalanta,700 miles €,Fin de préstamo
6875,1063.0,15/16,28/07/2015,Atalanta,Vicenza,700 miles €,Préstamo
6876,1063.0,14/15,30/06/2015,Spezia Calcio,Atalanta,700 miles €,Fin de préstamo
6877,1063.0,14/15,01/09/2014,Atalanta,Spezia Calcio,"1,00 mill. €",Préstamo
6878,1063.0,13/14,30/06/2014,AC Cesena,Atalanta,100 miles €,Fin de préstamo
6879,1063.0,13/14,17/01/2014,Atalanta,AC Cesena,100 miles €,Préstamo
6880,1063.0,13/14,01/07/2013,Atalanta U19,Atalanta,100 miles €,-
6881,1063.0,11/12,01/07/2011,Atalanta Jugend,Atalanta U19,-,-
6882,1064.0,16/17,06/07/2016,Sevilla FC,Inter de Milán,"15,00 mill. €",Libre
6883,1064.0,14/15,18/08/2014,Valencia CF,Sevilla FC,"8,00 mill. €","2,50 mill. €"
6884,1064.0,13/14,30/06/2014,Newell's,Valencia CF,"12,00 mill. €",Fin de préstamo
6885,1064.0,13/14,31/01/2014,Valencia CF,Newell's,"14,00 mill. €",Préstamo
6886,1064.0,08/09,30/06/2009,Atlético Madrid,Valencia CF,"10,00 mill. €",Fin de préstamo
6887,1064.0,08/09,28/08/2008,Valencia CF,Atlético Madrid,"12,00 mill. €","Tarifa de préstamo:1,50 mill. €"
