,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3161,tmssl.akamaized.net//images/portrait/header/242548-1446727257.jpg?lm=1446727296,Federico Cartabia,Federico Nicolás Cartabia,11,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"1,50 mill. € ",119.0,"1,70m",izquierdo,24,20/01/1993,30.06.2017,Delantero - Extremo derecho,31/01/2017,Football Management Sanchez SL,Rosario  ,-
3162,tmssl.akamaized.net//images/portrait/header/14127-1479476090.jpg?lm=1479476102,Alan,Alan Osório da Costa Silva,30,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,400 miles € ,119.0,"1,80m",derecho,37,19/09/1979,30.06.2017,Delantero - Extremo derecho,01/07/2008,CONACTA INC,Rio de Janeiro  ,-
3163,tmssl.akamaized.net//images/portrait/header/9335-1479476655.jpg?lm=1479476681,Rui Fonte,Rui Pedro da Rocha Fonte,17,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,00 mill. € ",119.0,"1,81m",ambidiestro,26,23/04/1990,30.06.2019,Delantero - Media punta,31/08/2016,Miembro de su familia,Lisboa  ,-
3164,tmssl.akamaized.net//images/portrait/header/271438-1478090127.jpg?lm=1478090161,Tomás Martínez,-,10,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"1,00 mill. € ",119.0,"1,72m",izquierdo,21,07/03/1995,30.06.2021,Delantero - Media punta,01/07/2016,Sin agente,Béccar  ,-
3165,tmssl.akamaized.net//images/portrait/header/184816-1479476936.jpg?lm=1479476953,Ahmed Hassan,أحمد حسن محجوب,9,Egipto,//tmssl.akamaized.net//images/flagge/verysmall/2.png?lm=1396275477,"4,50 mill. € ",119.0,"1,91m",derecho,23,05/03/1993,30.06.2020,Delantero - Delantero centro,26/08/2015,Gestifute,Kairo  ,-
3166,tmssl.akamaized.net//images/portrait/header/113504-1479476631.jpg?lm=1479476645,Nikola Stojiljkovic,Никола Стојиљковић,19,Serbia,//tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1396275486,"3,25 mill. € ",119.0,"1,84m",derecho,24,17/08/1992,30.06.2020,Delantero - Delantero centro,07/08/2015,-,Niš  ,-
3167,tmssl.akamaized.net//bilder/spielerfotos/s_119028_2350_2012_12_19_1.jpg?lm=0,Érick Moreno,Érick Andrés Moreno Serna,-,Colombia,//tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1396275477,750 miles € ,119.0,"1,84m",derecho,25,24/11/1991,30.06.2018,Delantero - Delantero centro,31/01/2014,Sin agente,Bagadó  ,-
3168,tmssl.akamaized.net//images/portrait/header/366278-1442916441.jpg?lm=1442916459,Rodrigo Pinho,Rodrigo Cunha Pereira de Pinho,13,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,300 miles € ,119.0,"1,85m",izquierdo,25,30/05/1991,30.06.2019,Delantero - Delantero centro,01/07/2015,starbox,Henstedt-Ulzburg  ,-
3169,tmssl.akamaized.net//images/portrait/header/336756-1477932773.jpg?lm=1477932850,Miguel Silva,João Miguel Macedo Silva,56,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,50 mill. € ",120.0,"1,89m",derecho,21,07/04/1995,30.06.2020,Portero,27/11/2015,EUROFOOT BV,Santa Eufémia de Prazins  ,-
3170,tmssl.akamaized.net//images/portrait/header/67925-1477931787.jpg?lm=1477931899,Douglas Jesus,Douglas Renato de Jesus,1,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,400 miles € ,120.0,"1,88m",derecho,33,09/03/1983,30.06.2019,Portero,01/01/2011,-,Ribeirão Preto  ,-
3171,tmssl.akamaized.net//images/portrait/header/258369-1477931950.jpg?lm=1477931963,Georgemy,-,33,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,250 miles € ,120.0,"1,98m",derecho,21,15/08/1995,30.06.2017,Portero,19/07/2016,RSFA,Americana (SP)  ,-
3172,tmssl.akamaized.net//images/portrait/header/139341-1477932229.jpg?lm=1477932313,Josué Sá,Josué Humberto Gonçalves de Sá,3,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,50 mill. € ",120.0,"1,87m",derecho,24,17/06/1992,30.06.2019,Defensa - Defensa central,01/07/2013,Eoxxon Sports Group,Lisboa  ,-
3173,tmssl.akamaized.net//images/portrait/header/164015-1445518093.jpg?lm=1445518102,Pedrão,Pedro Henrique Pereira da Silva,2,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,50 mill. € ",120.0,"1,90m",izquierdo,24,18/12/1992,30.06.2017,Defensa - Defensa central,16/07/2015,-,Goiânia  ,-
3174,tmssl.akamaized.net//images/portrait/header/171410-1411641366.jpg?lm=1433143804,Prince Gouano,Prince-Désir Gouano,26,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"1,50 mill. € ",120.0,"1,86m",derecho,23,24/12/1993,30.06.2017,Defensa - Defensa central,15/08/2016,EK Sports Management,Paris  ,-
3175,tmssl.akamaized.net//images/portrait/header/13147-1477932764.jpg?lm=1477932821,Moreno,João Miguel da Cunha Teixeira,6,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,100 miles € ,120.0,"1,88m",derecho,35,19/08/1981,30.06.2017,Defensa - Defensa central,01/07/2013,PromoSport,Urgeses  ,-
3176,tmssl.akamaized.net//images/portrait/header/175597-1477933082.jpg?lm=1477933112,Rúben,Rúben Rafael Sousa Ferreira,41,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,75 mill. € ",120.0,"1,83m",izquierdo,26,17/02/1990,30.06.2019,Defensa - Lateral izquierdo,01/07/2016,MNM Sports Management,Funchal  ,-
3177,tmssl.akamaized.net//images/portrait/header/422850-1477931414.jpg?lm=1477931465,Konan,Ghislain Nclomande Konan,53,Costa de Marfil,//tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1396275488,100 miles € ,120.0,"1,76m",izquierdo,21,27/12/1995,30.06.2021,Defensa - Lateral izquierdo,01/01/2017,-,-,-
3178,tmssl.akamaized.net//images/portrait/header/84711-1477932260.jpg?lm=1477932289,João Aurélio,João Miguel Coimbra Aurélio,20,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,50 mill. € ",120.0,"1,82m",derecho,28,17/08/1988,30.06.2018,Defensa - Lateral derecho,01/07/2016,Gold World Stars,Beja  ,-
3179,tmssl.akamaized.net//images/portrait/header/230457-1477931329.jpg?lm=1477931358,Bruno Gaspar,Bruno Miguel Boialvo Gaspar,76,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,00 mill. € ",120.0,"1,80m",derecho,23,21/04/1993,30.06.2019,Defensa - Lateral derecho,01/07/2015,exclusive Sports GbR,Évora  ,-
3180,tmssl.akamaized.net//images/portrait/header/255944-1474545726.jpg?lm=1474545734,Guillermo Celis,Guillermo León Celis Montiel,28,Colombia,//tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1396275477,"2,00 mill. € ",120.0,"1,78m",derecho,23,08/05/1993,30.06.2017,Medio campo - Pivote,31/01/2017,Kraft Kolumbien Sports Management,Sincelejo  ,-
3181,tmssl.akamaized.net//images/portrait/header/53071-1477932305.jpg?lm=1477932322,Rafael Miranda,Rafael Miranda da Conceição,5,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,500 miles € ,120.0,"1,79m",derecho,32,11/08/1984,30.06.2018,Medio campo - Pivote,01/07/2016,Teixeira Players Management,Belo Horizonte  ,-
3182,tmssl.akamaized.net//images/portrait/header/276768-1477932877.jpg?lm=1477932914,Nolan Mbemba,-,19,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,500 miles € ,120.0,"1,81m",derecho,21,19/02/1995,30.06.2017,Medio campo - Pivote,01/07/2016,-,-,-
3183,tmssl.akamaized.net//images/portrait/header/324321-1445516726.jpg?lm=1445516739,Bernard Mensah,-,13,Ghana,//tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1396275450,"1,50 mill. € ",120.0,"1,80m",derecho,22,17/10/1994,30.06.2017,Medio campo - Medio centro ofensivo,18/08/2016,Jorge Pires,Accra  ,-
