,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
21595,3352.0,11/12,01/01/2012,Fluminense U19,Fluminense B,-,-
21596,3352.0,10/11,01/05/2011,Fortaleza U20,Fluminense U19,-,?
21597,3353.0,16/17,06/01/2017,Monte Azul-SP,Estoril,450 miles €,Préstamo
21598,3353.0,16/17,05/01/2017,FC Thun,Monte Azul-SP,450 miles €,Fin de préstamo
21599,3353.0,16/17,01/07/2016,Monte Azul-SP,FC Thun,450 miles €,Préstamo
21600,3353.0,15/16,30/06/2016,FC Aarau,Monte Azul-SP,450 miles €,Fin de préstamo
21601,3353.0,15/16,07/07/2015,Monte Azul-SP,FC Aarau,350 miles €,Préstamo
21602,3353.0,15/16,06/07/2015,RB Brasil,Monte Azul-SP,350 miles €,Fin de préstamo
21603,3353.0,14/15,02/01/2015,Monte Azul-SP,RB Brasil,350 miles €,Préstamo
21604,3353.0,14/15,01/01/2015,Inter U20,Monte Azul-SP,350 miles €,Libre
21605,3353.0,13/14,01/08/2013,Desp. Brasil,Inter U20,350 miles €,?
21606,3353.0,12/13,30/06/2013,Bay. Leverkusen,Desp. Brasil,350 miles €,Fin de préstamo
21607,3353.0,12/13,29/06/2013,Jahn Regensburg,Bay. Leverkusen,300 miles €,Fin de préstamo
21608,3353.0,12/13,15/01/2013,Bay. Leverkusen,Jahn Regensburg,300 miles €,Préstamo
21609,3353.0,12/13,01/07/2012,Desp. Brasil,Bay. Leverkusen,-,Tarifa de préstamo:100 miles €
21610,3353.0,11/12,01/07/2011,Desportivo U19,Desp. Brasil,-,-
21611,3354.0,16/17,01/07/2016,Estoril U19,Estoril,-,-
21612,3355.0,16/17,17/01/2017,Vitória Setúbal,Estoril,"1,75 mill. €",?
21613,3355.0,15/16,13/07/2015,Arouca,Vitória Setúbal,800 miles €,Libre
21614,3355.0,12/13,01/07/2012,Famalicão,Arouca,-,Libre
21615,3355.0,10/11,01/08/2010,FC Porto U19,Famalicão,-,Libre
21616,3356.0,16/17,22/07/2016,Internacional,Estoril,500 miles €,Préstamo
21617,3356.0,14/15,01/01/2015,Inter U20,Internacional,-,-
21618,3357.0,16/17,31/01/2017,Nottm Forest,Estoril,"1,50 mill. €",Préstamo
21619,3357.0,16/17,31/08/2016,FC Porto,Nottm Forest,"1,50 mill. €",358 miles €
21620,3357.0,16/17,30/06/2016,Vit. Guimarães,FC Porto,"1,50 mill. €",Fin de préstamo
21621,3357.0,15/16,16/07/2015,FC Porto,Vit. Guimarães,"2,00 mill. €",Préstamo
21622,3357.0,14/15,30/06/2015,Rayo Vallecano,FC Porto,"2,50 mill. €",Fin de préstamo
21623,3357.0,14/15,30/07/2014,FC Porto,Rayo Vallecano,"3,50 mill. €",Préstamo
21624,3357.0,13/14,01/07/2013,Estoril,FC Porto,"2,50 mill. €","1,50 mill. €"
21625,3357.0,11/12,01/07/2011,Coimbra,Estoril,450 miles €,Libre
21626,3357.0,10/11,30/06/2011,Trofense,Coimbra,450 miles €,Fin de préstamo
21627,3357.0,09/10,01/01/2010,Coimbra,Trofense,400 miles €,Préstamo
